#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.98402  0.005887  0.002075  0.000252     2.838
   0.02377  0.97722  0.00680  1.15836  0.001487  0.001041  0.005164     1.428
   0.04741  0.95444  0.01310  1.15141  0.001470  0.001017  0.005003     1.445
   0.07099  0.93166  0.01920  1.17606  0.001272  0.000901  0.005699     1.411
   0.09443  0.90888  0.02470  1.16390  0.001268  0.000885  0.005441     1.432
   0.11783  0.88610  0.03007  1.16930  0.001181  0.000824  0.005597     1.433
   0.14117  0.86333  0.03520  1.17028  0.001122  0.000774  0.005569     1.449
   0.16447  0.84055  0.04009  1.15832  0.001146  0.000757  0.004946     1.514
   0.18782  0.81777  0.04520  1.18215  0.001027  0.000663  0.005048     1.548
   0.21110  0.79499  0.05000  1.18314  0.001067  0.000624  0.003942     1.711
   0.23435  0.77221  0.05467  1.21119  0.001045  0.000544  0.003028     1.922
   0.25745  0.74943  0.05850  1.19870  0.001631  0.000557  0.000526     2.929
   0.28064  0.72665  0.06287  1.21041  0.001541  0.000526  0.000565     2.926
   0.30371  0.70387  0.06651  1.20967  0.001729  0.000525  0.000258     3.294
   0.32684  0.68109  0.07050  1.22788  0.001270  0.000483  0.001026     2.630
   0.34986  0.65831  0.07380  1.21912  0.001519  0.000494  0.000456     3.074
   0.37290  0.63554  0.07730  1.23662  0.001176  0.000456  0.001182     2.580
   0.39586  0.61276  0.08018  1.22723  0.001374  0.000466  0.000619     2.951
   0.41884  0.58998  0.08320  1.24364  0.001097  0.000430  0.001317     2.550
   0.44175  0.56720  0.08565  1.23617  0.001204  0.000434  0.000911     2.775
   0.46465  0.54442  0.08800  1.23961  0.001175  0.000422  0.000920     2.788
   0.48754  0.52164  0.09021  1.24677  0.001079  0.000403  0.001157     2.679
   0.51039  0.49886  0.09203  1.24295  0.001197  0.000402  0.000688     2.979
   0.53324  0.47608  0.09390  1.25227  0.001094  0.000382  0.000900     2.865
   0.55609  0.45330  0.09567  1.27651  0.000799  0.000339  0.002266     2.358
   0.57889  0.43052  0.09658  1.25719  0.000917  0.000349  0.001466     2.624
   0.60169  0.40774  0.09740  1.27258  0.000731  0.000317  0.002598     2.305
   0.62446  0.38497  0.09749  1.24817  0.000851  0.000330  0.001645     2.581
   0.64724  0.36219  0.09749  1.24666  0.000850  0.000320  0.001509     2.656
   0.67002  0.33941  0.09740  1.25412  0.000751  0.000299  0.002023     2.512
   0.69280  0.31663  0.09690  1.25411  0.000686  0.000283  0.002419     2.427
   0.71560  0.29385  0.09590  1.24047  0.000743  0.000281  0.001755     2.638
   0.73841  0.27107  0.09476  1.25114  0.000604  0.000254  0.002892     2.374
   0.76127  0.24829  0.09294  1.22901  0.000740  0.000260  0.001336     2.847
   0.78412  0.22551  0.09112  1.24747  0.000580  0.000229  0.002542     2.535
